id,eval_task,group,pos_3gram_repeat_rate,comma_per_1k_chars,sentence_initial_token_repeat_rate,simile_marker_per_1k_chars,simile_sentence_rate,modifier_repeat_burst_mass,pos_4gram_diversity,pos_5gram_repeat_rate,parenthesis_pair_per_1k_chars,anti_slop_density,sentence_final_token_repeat_rate,sentence_length_iqr_ratio,sentence_length_cv,modifier_repetition_mass,content_modifier_repeat_occurrence_rate
phase-rewrite-0012,rewrite,rewrite_output,0.8372093023255814,6.715771230502599,0.5892857142857143,3.466204506065858,0.09259259259259259,0.25742425825541665,0.525460930640913,0.3935002195871761,0.0,12.279950248138961,0.8869047619047619,0.8571428571428571,0.5606238558588665,0.5076923076923077,0.676923076923077
phase-rewrite-0013,rewrite,rewrite_output,0.8234482758620689,5.975637784417375,0.5029239766081871,2.757986669731096,0.07236842105263158,0.15793716985855108,0.5740570377184913,0.3469857340082835,0.22983222247759136,11.109004094030634,0.7777777777777778,0.8541666666666666,0.547208474358793,0.36607142857142855,0.5535714285714286
phase-rewrite-0014,rewrite,rewrite_output,0.8319039451114922,6.772673733804476,0.4322033898305085,1.1778563015312131,0.036036036036036036,0.11278976639400741,0.5852402745995423,0.3308528906697195,0.0,13.765329296615795,0.8898305084745762,0.6896551724137931,0.5436637616342345,0.3277310924369748,0.48739495798319327
phase-rewrite-0015,rewrite,rewrite_output,0.8313465783664459,7.976955461998671,0.3657142857142857,3.323731442499446,0.08227848101265822,0.153360969165079,0.5446113074204947,0.38267786124613345,0.0,11.288018547140648,0.8057142857142857,0.9166666666666666,0.5870070087800039,0.35833333333333334,0.5416666666666666
phase-rewrite-0016,rewrite,rewrite_output,0.8071599045346062,6.295173700163208,0.45695364238410596,1.6320820704126837,0.0546875,0.18338337336270602,0.6184336198662846,0.27854753941710464,0.0,7.3910121687398584,0.8013245033112583,0.8888888888888888,0.6014826993039065,0.4016393442622951,0.5983606557377049
phase-rewrite-0017,rewrite,rewrite_output,0.840973630831643,6.940191875893039,0.641860465116279,2.449479485609308,0.05952380952380952,0.15587298021468673,0.5523538961038961,0.35850588712951686,0.0,11.505755200945634,0.8325581395348837,0.8181818181818182,0.5782005250534913,0.376,0.568
phase-rewrite-0018,rewrite,rewrite_output,0.8520084566596194,12.236710130391174,0.5078125,1.0030090270812437,0.026881720430107527,0.2015274507711236,0.5706429780033841,0.33474396953025815,0.20060180541624872,4.904596041767848,0.78515625,1.25,0.7195662047830289,0.4329268292682927,0.5975609756097561
phase-rewrite-0019,rewrite,rewrite_output,0.8531412565026011,11.57453602075434,0.5458937198067633,0.5986828976252245,0.014778325123152709,0.24475235482067778,0.5052041633306645,0.434120945134161,0.0,10.24055367816092,0.8502415458937198,0.7272727272727273,0.543611579340084,0.547945205479452,0.726027397260274
phase-rewrite-0020,rewrite,rewrite_output,0.8496385542168675,8.194802154062282,0.5408163265306123,0.0,0.0,0.21581577171340974,0.5540019286403086,0.36710082006753497,0.0,7.484438907193849,0.7857142857142857,1.1111111111111112,0.7011978706629064,0.4214876033057851,0.6033057851239669
phase-rewrite-0021,rewrite,rewrite_output,0.8590057049714751,5.4945054945054945,0.5933609958506224,0.7849293563579278,0.02030456852791878,0.15635374144095432,0.5654300856094578,0.3442088091353997,0.0,5.200601237739373,0.8464730290456431,0.8888888888888888,0.6136318591794272,0.4594594594594595,0.6864864864864865
phase-rewrite-0022,rewrite,rewrite_output,0.8364700961940611,6.334286881896199,0.5555555555555556,2.2476501838986516,0.05365853658536585,0.1823487673298202,0.5765690376569038,0.32607785684386775,0.0,4.381486763978228,0.8189300411522634,0.8888888888888888,0.6192896695094815,0.4068965517241379,0.6
phase-rewrite-0023,rewrite,rewrite_output,0.7646544181977253,8.112724167378309,0.3246753246753247,0.8539709649871904,0.03333333333333333,0.18637530182061396,0.670753064798599,0.26730937773882557,1.2809564474807857,6.2028150753768845,0.7792207792207793,0.5,0.5252055292721053,0.3050847457627119,0.4915254237288136
phase-rewrite-0024,rewrite,rewrite_output,0.8232673267326732,4.207868714496108,0.5580357142857143,1.051967178624027,0.03205128205128205,0.14670473226101463,0.6151560178306092,0.29385530227948464,16.410687986534818,4.183718566862014,0.84375,1.0588235294117647,0.6887246695285566,0.48333333333333334,0.7333333333333333
phase-rewrite-0025,rewrite,rewrite_output,0.8245445829338447,4.065040650406504,0.6380090497737556,0.6097560975609756,0.021897810218978103,0.20833497518149693,0.6249400479616307,0.2706333973128599,19.308943089430894,3.20109630400833,0.832579185520362,1.25,0.753525368364749,0.4666666666666667,0.6916666666666667
phase-rewrite-0026,rewrite,rewrite_output,0.8298507462686567,7.0906746884400516,0.48863636363636365,1.289213579716373,0.03546099290780142,0.22835639725817541,0.5639931740614335,0.3525394793000427,0.42973785990545765,7.653110694652676,0.7840909090909091,0.6923076923076923,0.5778334549583073,0.42028985507246375,0.5652173913043478
phase-rewrite-0027,rewrite,rewrite_output,0.8235567970204841,9.192825112107624,0.36942675159235666,0.8968609865470852,0.029411764705882353,0.22482042909903455,0.5943176525384257,0.30754892823858343,2.0179372197309418,5.07733029395754,0.7197452229299363,1.0833333333333333,0.685944178414313,0.4036697247706422,0.5688073394495413
phase-rewrite-0028,rewrite,rewrite_output,0.8247048138056312,8.620689655172413,0.38848920863309355,0.9319664492078286,0.03225806451612903,0.18987256041344064,0.5970013630168105,0.3,0.0,7.591454976303318,0.841726618705036,0.7666666666666667,0.5608113960198429,0.37373737373737376,0.5353535353535354
phase-rewrite-0029,rewrite,rewrite_output,0.8293633607622347,9.858551221603086,0.5227272727272727,1.7145306472353192,0.04195804195804196,0.21281214192285747,0.5814558058925476,0.3207628955353273,0.0,12.289947680282399,0.8465909090909091,1.0416666666666667,0.640332961112403,0.5060975609756098,0.7012195121951219
phase-rewrite-0030,rewrite,rewrite_output,0.8273056057866185,10.725696029210406,0.5602409638554217,2.9666818804198996,0.08275862068965517,0.14038407358293573,0.561284486657621,0.3588235294117647,0.0,10.38571814872595,0.8614457831325302,0.8333333333333334,0.5555335223779881,0.40764331210191085,0.6178343949044586
phase-rewrite-0031,rewrite,rewrite_output,0.8092948717948718,5.279831045406547,0.375,1.8479408658922913,0.05555555555555555,0.15083054904796997,0.6050240513094601,0.313903743315508,0.0,6.528724078700812,0.8026315789473685,0.8333333333333334,0.5601645796339878,0.3253012048192771,0.5180722891566265
